Title,Year
Punch-Drunk Love,2002
Drive,2011
Frances Ha,2012
A Woman Under the Influence,1974
Taxi Driver,1976
Neon Genesis Evangelion: Death and Rebirth,1997
Mary and Max,2009
Moon,2009
Gravity,2013
Being John Malkovich,1999
Fallen Angels,1995
"Synecdoche, New York",2008
Atonement,2007
Buffalo '66,1998
The Wrestler,2008
The Fountain,2006
Magnolia,1999
Wild Strawberries,1957
It's Such a Beautiful Day,2012
The Deer Hunter,1978
The Double,2013
"Sex, Lies, and Videotape",1989
Donnie Darko,2001
Novitiate,2017
The Artist,2011
The Terminal,2004
First Reformed,2017
What Time Is It There?,2001
Winter Light,1963
Lost in Translation,2003
Black Swan,2010
James White,2015
Nebraska,2013
Rear Window,1954
Can You Ever Forgive Me?,2018
Amélie,2001
The Rider,2017
In the Mood for Love,2000
The Apartment,1960
Hiroshima Mon Amour,1959
Lovesong,2016
American Beauty,1999
Columbus,2017
The Last Black Man in San Francisco,2019
Barry Lyndon,1975
Incendies,2010
Ida,2013
Love Exposure,2008
Once,2007
A Silent Voice,2016
Cast Away,2000
Castaway on the Moon,2009
The Royal Tenenbaums,2001
Roma,2018
Persona,1966
Chungking Express,1994
Mississippi Grind,2015
Harold and Maude,1971
Late Spring,1949
Short Term 12,2013
Life of Pi,2012
Inside Llewyn Davis,2013
Never Let Me Go,2010
Sideways,2004
Le Samouraï,1967
Border,2018
Toni Erdmann,2016
"Paris, Texas",1984
Melancholia,2011
Detachment,2011
Au Hasard Balthazar,1966
Hereditary,2018
Sharp Objects,2018
Cold War,2018
An Elephant Sitting Still,2018
Shoplifters,2018
All About Lily Chou-Chou,2001
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975
Anomalisa,2015
Moving,1993
Monster,2003
Solaris,1972
Our Little Sister,2015
Nobody Knows,2004
Vivre Sa Vie,1962
Lars and the Real Girl,2007
Mysterious Skin,2004
Blow-Up,1966
A City of Sadness,1989
"Love, Simon",2018
"Right Now, Wrong Then",2015
Bringing Out the Dead,1999
I Stand Alone,1998
Matthias & Maxime,2019
Pain and Glory,2019
Her,2013
Three Colors: Red,1994
Up in the Air,2009
Yi Yi,2000
Cries and Whispers,1972
